Country,Region,Ranking,Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia_Residual
Switzerland,Western Europe,1,7.587,1.397,1.35,0.941,0.66557,0.41978,0.29678,2.51738
Iceland,Western Europe,2,7.561,1.302,1.402,0.948,0.62877,0.14145,0.4363,2.70201
Denmark,Western Europe,3,7.527,1.325,1.361,0.875,0.64938,0.48357,0.34139,2.49204
Norway,Western Europe,4,7.522,1.459,1.331,0.885,0.66973,0.36503,0.34699,2.46531
Canada,North America,5,7.427,1.326,1.323,0.906,0.63297,0.32957,0.45811,2.45176
Finland,Western Europe,6,7.406,1.29,1.318,0.889,0.64169,0.41372,0.23351,2.61955
Netherlands,Western Europe,7,7.378,1.329,1.28,0.893,0.61576,0.31814,0.4761,2.4657
Sweden,Western Europe,8,7.364,1.332,1.289,0.911,0.6598,0.43844,0.36262,2.37119
New Zealand,Australia and New Zealand,9,7.286,1.25,1.32,0.908,0.63938,0.42922,0.47501,2.26425
Australia,Australia and New Zealand,10,7.284,1.334,1.309,0.932,0.65124,0.35637,0.43562,2.26646
Israel,Middle East and Northern Africa,11,7.278,1.229,1.224,0.914,0.41319,0.07785,0.33172,3.08854
Costa Rica,Latin America and Caribbean,12,7.226,0.956,1.238,0.86,0.63376,0.10583,0.25497,3.17728
Austria,Western Europe,13,7.2,1.337,1.297,0.89,0.62433,0.18676,0.33088,2.5332
Mexico,Latin America and Caribbean,14,7.187,1.021,0.915,0.814,0.48181,0.21312,0.14074,3.60214
United States,North America,15,7.119,1.395,1.247,0.862,0.54604,0.1589,0.40105,2.51011
Brazil,Latin America and Caribbean,16,6.983,0.981,1.233,0.697,0.49049,0.17521,0.14574,3.26001
Luxembourg,Western Europe,17,6.946,1.564,1.22,0.919,0.61583,0.37798,0.28034,1.96961
Ireland,Western Europe,18,6.94,1.336,1.369,0.895,0.61777,0.28703,0.45901,1.9757
Belgium,Western Europe,19,6.937,1.308,1.286,0.897,0.5845,0.2254,0.2225,2.41484
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.427,1.126,0.809,0.64157,0.38583,0.26428,2.24743
United Kingdom,Western Europe,21,6.867,1.266,1.285,0.909,0.59625,0.32067,0.51912,1.96994
Venezuela,Latin America and Caribbean,23,6.81,1.044,1.256,0.721,0.42908,0.11069,0.05841,3.19131
Singapore,Southeastern Asia,24,6.798,1.522,1.02,1.025,0.54252,0.4921,0.31105,1.88501
Panama,Latin America and Caribbean,25,6.786,1.064,1.198,0.797,0.5421,0.0927,0.24434,2.84848
